Weekly direct-booking performance (sample data)
Week,Direct bookings,Direct booking value USD,Website visits,Ad views
2025-09-01,7,3710,204,1378
2025-09-08,8,3793,194,1157
2025-09-15,6,3240,172,1110
2025-09-22,8,3818,222,1456
2025-09-29,8,4491,253,1672
2025-10-06,10,4790,256,1716
2025-10-13,9,4390,242,1566
2025-10-20,9,4115,237,1441
2025-10-27,7,3151,189,1172
2025-11-03,4,2282,126,756
2025-11-10,3,1551,85,571
2025-11-17,3,1724,93,572
2025-11-24,4,2065,112,712
2025-12-01,5,2428,139,940
2025-12-08,5,2603,133,788
2025-12-15,5,2522,131,777
2025-12-22,5,2512,147,855
2025-12-29,6,2814,148,978
2026-01-05,6,2985,151,880
2026-01-12,6,3017,152,1014
2026-01-19,7,3547,192,1135
2026-01-26,7,3072,168,1102
2026-02-02,7,3697,221,1386
2026-02-09,7,3430,197,1274
2026-02-16,7,3393,188,1166
2026-02-23,6,3178,170,1094
2026-03-02,5,2681,138,888
2026-03-09,5,2563,149,893
2026-03-16,6,2751,149,895
2026-03-23,4,1938,100,631
2026-03-30,2,827,77,543
2026-04-06,2,982,62,396
2026-04-13,2,1027,49,302
2026-04-20,2,638,60,380
2026-04-27,1,436,74,519
2026-05-04,4,2042,91,592
2026-05-11,4,1946,114,691
2026-05-18,4,2167,119,718
2026-05-25,6,2569,138,808
2026-06-01,6,3497,170,1152
2026-06-08,7,3506,209,1352
2026-06-15,7,3779,217,1425
2026-06-22,8,4254,242,1473
2026-06-29,8,4197,248,1501
2026-07-06,9,4360,240,1401
2026-07-13,10,5362,309,1955
2026-07-20,9,4479,296,1910
2026-07-27,10,5066,258,1627
2026-08-03,11,5776,287,1791
2026-08-10,10,5528,295,1905
2026-08-17,9,4408,268,1710
2026-08-24,11,5668,330,2014

August 2026 booking channels
Channel,Bookings,Booking value USD,Estimated channel fees USD,Value after estimated channel fees USD
Your website,41,21380.00,2463.76,18916.24
Booking.com,11,5778.00,866.70,4911.30
Expedia,7,4032.00,725.76,3306.24

Estimated direct-booking commission savings USD,743.24
Assumed alternative booking-site commission,15%
Autumn fee on attributed direct bookings,13%
Sample Booking.com commission,15%
Sample Expedia commission,18%
Payment processing taxes and other costs excluded
